Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,ha,t,t,t,t,t,t,L,L,t,MWh,m3,t,t,L,L,L,t,t,t,t
Sold - Scenario 117,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 118,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 119,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 120,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 121,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 122,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 123,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 124,0.0,0.0,0.0,83341.627,0.0,0.0,0.0,1.09e8,0.0,0.0,218570.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 125,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 126,0.0,0.0,0.0,83341.627,0.0,0.0,0.0,1.09e8,0.0,0.0,218570.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
